timestamp,oxygen saturation percentage,data source
2026-03-25T21:42:33Z,96.4,Charge 6
2026-03-25T21:43:33Z,96.3,Charge 6
2026-03-25T21:44:33Z,96.1,Charge 6
2026-03-25T21:45:33Z,95.8,Charge 6
2026-03-25T21:46:33Z,95.2,Charge 6
2026-03-25T21:47:33Z,94.9,Charge 6
2026-03-25T21:48:33Z,94.4,Charge 6
2026-03-25T21:50:33Z,92.5,Charge 6
2026-03-25T21:51:33Z,92.2,Charge 6
2026-03-25T21:52:33Z,92.0,Charge 6
2026-03-25T21:53:33Z,91.7,Charge 6
2026-03-25T21:54:33Z,91.3,Charge 6
2026-03-25T21:55:33Z,91.0,Charge 6
2026-03-25T21:56:33Z,90.7,Charge 6
2026-03-25T21:58:03Z,91.6,Charge 6
2026-03-25T21:59:03Z,91.2,Charge 6
2026-03-25T22:00:03Z,90.8,Charge 6
2026-03-25T22:01:03Z,90.6,Charge 6
2026-03-25T22:02:03Z,90.6,Charge 6
2026-03-25T22:03:03Z,90.4,Charge 6
2026-03-25T22:04:03Z,90.3,Charge 6
2026-03-25T22:05:03Z,90.5,Charge 6
2026-03-25T22:06:03Z,90.7,Charge 6
2026-03-25T22:07:03Z,91.4,Charge 6
2026-03-25T22:08:03Z,91.9,Charge 6
2026-03-25T22:09:03Z,92.5,Charge 6
2026-03-25T22:10:03Z,93.1,Charge 6
2026-03-25T22:11:03Z,93.6,Charge 6
2026-03-25T22:12:03Z,94.1,Charge 6
2026-03-25T22:13:03Z,94.5,Charge 6
2026-03-25T22:14:03Z,94.8,Charge 6
2026-03-25T22:15:03Z,94.9,Charge 6
2026-03-25T22:16:03Z,95.7,Charge 6
2026-03-25T22:17:03Z,50.0,Charge 6
2026-03-25T22:18:03Z,95.8,Charge 6
2026-03-25T22:19:03Z,95.1,Charge 6
2026-03-25T22:20:03Z,94.5,Charge 6
2026-03-25T22:21:03Z,93.7,Charge 6
2026-03-25T22:22:03Z,93.2,Charge 6
2026-03-25T22:23:03Z,92.9,Charge 6
2026-03-25T22:24:03Z,92.5,Charge 6
2026-03-25T22:25:03Z,92.7,Charge 6
2026-03-25T22:26:03Z,92.8,Charge 6
2026-03-25T22:27:03Z,92.8,Charge 6
2026-03-25T22:28:03Z,92.8,Charge 6
2026-03-25T22:29:03Z,92.7,Charge 6
2026-03-25T22:30:03Z,92.6,Charge 6
2026-03-25T22:31:03Z,92.7,Charge 6
2026-03-25T22:32:03Z,92.2,Charge 6
2026-03-25T22:33:03Z,92.0,Charge 6
2026-03-25T22:34:03Z,92.1,Charge 6
2026-03-25T22:35:03Z,92.1,Charge 6
2026-03-25T22:36:03Z,92.0,Charge 6
2026-03-25T22:37:03Z,92.0,Charge 6
2026-03-25T22:38:03Z,92.1,Charge 6
2026-03-25T22:39:03Z,92.3,Charge 6
2026-03-25T22:40:03Z,92.4,Charge 6
2026-03-25T22:41:03Z,50.0,Charge 6
2026-03-25T22:42:03Z,93.5,Charge 6
2026-03-25T22:43:03Z,94.0,Charge 6
2026-03-25T22:44:03Z,94.1,Charge 6
2026-03-25T22:45:03Z,94.2,Charge 6
2026-03-25T22:46:03Z,94.1,Charge 6
2026-03-25T22:47:03Z,94.1,Charge 6
2026-03-25T22:48:03Z,94.0,Charge 6
2026-03-25T22:49:03Z,94.0,Charge 6
2026-03-25T22:50:03Z,94.1,Charge 6
2026-03-25T22:51:03Z,94.0,Charge 6
2026-03-25T22:52:03Z,93.9,Charge 6
2026-03-25T22:53:03Z,94.1,Charge 6
2026-03-25T22:54:03Z,94.0,Charge 6
2026-03-25T22:55:03Z,93.5,Charge 6
2026-03-25T22:56:03Z,93.6,Charge 6
2026-03-25T22:57:03Z,94.1,Charge 6
2026-03-25T22:58:03Z,93.8,Charge 6
2026-03-25T22:59:03Z,50.0,Charge 6
2026-03-25T23:00:03Z,93.9,Charge 6
2026-03-25T23:01:03Z,94.0,Charge 6
2026-03-25T23:02:03Z,93.8,Charge 6
2026-03-25T23:03:03Z,93.7,Charge 6
2026-03-25T23:04:03Z,93.6,Charge 6
2026-03-25T23:05:03Z,93.5,Charge 6
2026-03-25T23:06:03Z,93.2,Charge 6
2026-03-25T23:07:03Z,93.3,Charge 6
2026-03-25T23:08:03Z,93.3,Charge 6
2026-03-25T23:09:03Z,93.3,Charge 6
2026-03-25T23:10:03Z,93.2,Charge 6
2026-03-25T23:11:03Z,93.5,Charge 6
2026-03-25T23:12:03Z,93.5,Charge 6
2026-03-25T23:13:03Z,93.4,Charge 6
2026-03-25T23:14:03Z,93.2,Charge 6
2026-03-25T23:15:03Z,93.1,Charge 6
2026-03-25T23:16:03Z,92.9,Charge 6
2026-03-25T23:17:03Z,93.2,Charge 6
2026-03-25T23:18:03Z,93.2,Charge 6
2026-03-25T23:19:03Z,93.0,Charge 6
2026-03-25T23:20:03Z,93.0,Charge 6
2026-03-25T23:21:03Z,92.9,Charge 6
2026-03-25T23:22:03Z,93.1,Charge 6
2026-03-25T23:23:03Z,93.2,Charge 6
2026-03-25T23:24:03Z,93.3,Charge 6
2026-03-25T23:25:03Z,93.2,Charge 6
2026-03-25T23:26:03Z,93.2,Charge 6
2026-03-25T23:27:03Z,93.2,Charge 6
2026-03-25T23:28:03Z,93.2,Charge 6
2026-03-25T23:29:03Z,93.2,Charge 6
2026-03-25T23:30:03Z,93.2,Charge 6
2026-03-25T23:31:03Z,93.2,Charge 6
2026-03-25T23:32:03Z,93.3,Charge 6
2026-03-25T23:33:03Z,50.0,Charge 6
2026-03-25T23:34:03Z,50.0,Charge 6
2026-03-25T23:35:03Z,50.0,Charge 6
2026-03-25T23:36:03Z,93.7,Charge 6
2026-03-25T23:37:03Z,93.8,Charge 6
2026-03-25T23:38:03Z,93.7,Charge 6
2026-03-25T23:39:03Z,93.9,Charge 6
2026-03-25T23:40:03Z,93.9,Charge 6
2026-03-25T23:41:03Z,94.3,Charge 6
2026-03-25T23:42:03Z,94.5,Charge 6
2026-03-25T23:43:03Z,93.7,Charge 6
2026-03-25T23:44:03Z,94.3,Charge 6
2026-03-25T23:45:03Z,94.5,Charge 6
2026-03-25T23:46:03Z,94.7,Charge 6
2026-03-25T23:47:03Z,94.7,Charge 6
2026-03-25T23:48:03Z,94.7,Charge 6
2026-03-25T23:49:03Z,50.0,Charge 6
2026-03-25T23:50:03Z,94.2,Charge 6
2026-03-25T23:51:03Z,93.6,Charge 6
2026-03-25T23:52:03Z,93.2,Charge 6
2026-03-25T23:53:03Z,93.1,Charge 6
2026-03-25T23:54:03Z,92.9,Charge 6
2026-03-25T23:55:03Z,92.8,Charge 6
2026-03-25T23:56:03Z,92.9,Charge 6
2026-03-25T23:57:03Z,92.8,Charge 6
2026-03-25T23:58:03Z,92.6,Charge 6
2026-03-25T23:59:03Z,92.6,Charge 6
2026-03-26T00:00:03Z,92.7,Charge 6
2026-03-26T00:01:03Z,92.8,Charge 6
2026-03-26T00:02:03Z,92.8,Charge 6
2026-03-26T00:03:03Z,92.9,Charge 6
2026-03-26T00:04:03Z,93.0,Charge 6
2026-03-26T00:05:03Z,92.9,Charge 6
2026-03-26T00:06:03Z,92.9,Charge 6
2026-03-26T00:07:03Z,92.9,Charge 6
2026-03-26T00:08:03Z,92.9,Charge 6
2026-03-26T00:09:03Z,92.9,Charge 6
2026-03-26T00:10:03Z,92.9,Charge 6
2026-03-26T00:11:03Z,92.8,Charge 6
2026-03-26T00:12:03Z,92.8,Charge 6
2026-03-26T00:13:03Z,92.8,Charge 6
2026-03-26T00:14:03Z,92.7,Charge 6
2026-03-26T00:15:03Z,92.7,Charge 6
2026-03-26T00:16:03Z,92.6,Charge 6
2026-03-26T00:17:03Z,92.6,Charge 6
2026-03-26T00:18:03Z,50.0,Charge 6
2026-03-26T00:19:03Z,93.1,Charge 6
2026-03-26T00:20:03Z,50.0,Charge 6
2026-03-26T00:21:03Z,50.0,Charge 6
2026-03-26T00:22:03Z,93.3,Charge 6
2026-03-26T00:23:03Z,93.7,Charge 6
2026-03-26T00:24:03Z,94.0,Charge 6
2026-03-26T00:25:03Z,94.3,Charge 6
2026-03-26T00:26:03Z,94.6,Charge 6
2026-03-26T00:27:03Z,94.8,Charge 6
2026-03-26T00:28:03Z,94.9,Charge 6
2026-03-26T00:29:03Z,95.0,Charge 6
2026-03-26T00:30:03Z,95.1,Charge 6
2026-03-26T00:31:03Z,95.2,Charge 6
2026-03-26T00:32:03Z,50.0,Charge 6
2026-03-26T00:33:03Z,95.3,Charge 6
2026-03-26T00:34:03Z,95.5,Charge 6
2026-03-26T00:35:03Z,95.5,Charge 6
2026-03-26T00:36:03Z,95.7,Charge 6
2026-03-26T00:37:03Z,95.8,Charge 6
2026-03-26T00:38:03Z,95.6,Charge 6
2026-03-26T00:39:03Z,95.5,Charge 6
2026-03-26T00:40:03Z,95.6,Charge 6
2026-03-26T00:41:03Z,95.3,Charge 6
2026-03-26T00:42:03Z,94.9,Charge 6
2026-03-26T00:43:03Z,94.3,Charge 6
2026-03-26T00:44:03Z,95.2,Charge 6
2026-03-26T00:45:03Z,95.4,Charge 6
